timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_size,tcp_flags,is_http,flow_packet_count,flow_total_bytes,flow_duration,flow_avg_packet_size,flow_min_packet_size,flow_max_packet_size,flow_packet_rate,flow_byte_rate,flow_syn_count,flow_ack_count,flow_rst_count,flow_fin_count,flow_udp_count,flow_http_count,label,attack_type
1779041594.382744,192.168.82.20,192.168.82.30,80,49676,TCP,66,0,18,1,3,1106,0.002871990203857422,368.6666666666667,60,980,1044.5718080690685,385098.8065747966,1,3,0,1,0,3,normal,normal
1779041594.383412,192.168.82.30,192.168.82.20,49676,80,TCP,60,0,16,1,5,377,0.003206968307495117,75.4,60,131,1559.1048992639953,117556.50940450524,1,4,0,1,0,5,normal,normal
1779041594.383412,192.168.82.30,192.168.82.20,49676,80,TCP,131,77,24,1,5,377,0.003206968307495117,75.4,60,131,1559.1048992639953,117556.50940450524,1,4,0,1,0,5,normal,normal
1779041594.383865,192.168.82.20,192.168.82.30,80,49676,TCP,980,926,24,1,3,1106,0.002871990203857422,368.6666666666667,60,980,1044.5718080690685,385098.8065747966,1,3,0,1,0,3,normal,normal
1779041594.38439,192.168.82.30,192.168.82.20,49676,80,TCP,60,0,17,1,5,377,0.003206968307495117,75.4,60,131,1559.1048992639953,117556.50940450524,1,4,0,1,0,5,normal,normal
1779041594.385616,192.168.82.20,192.168.82.30,80,49676,TCP,60,0,17,1,3,1106,0.002871990203857422,368.6666666666667,60,980,1044.5718080690685,385098.8065747966,1,3,0,1,0,3,normal,normal
1779041594.385616,192.168.82.30,192.168.82.20,49676,80,TCP,60,0,16,1,5,377,0.003206968307495117,75.4,60,131,1559.1048992639953,117556.50940450524,1,4,0,1,0,5,normal,normal
1779041594.401434,192.168.82.30,192.168.82.20,49677,80,TCP,66,0,2,1,5,377,0.0033371448516845703,75.4,60,131,1498.286775737658,112970.82289061941,1,4,0,1,0,5,normal,normal
1779041594.401584,192.168.82.20,192.168.82.30,80,49677,TCP,66,0,18,1,3,1106,0.0031859874725341797,368.6666666666667,60,980,941.623288183791,347145.1189104243,1,3,0,1,0,3,normal,normal
1779041594.402326,192.168.82.30,192.168.82.20,49677,80,TCP,60,0,16,1,5,377,0.0033371448516845703,75.4,60,131,1498.286775737658,112970.82289061941,1,4,0,1,0,5,normal,normal
1779041594.402326,192.168.82.30,192.168.82.20,49677,80,TCP,131,77,24,1,5,377,0.0033371448516845703,75.4,60,131,1498.286775737658,112970.82289061941,1,4,0,1,0,5,normal,normal
1779041594.403672,192.168.82.20,192.168.82.30,80,49677,TCP,980,926,24,1,3,1106,0.0031859874725341797,368.6666666666667,60,980,941.623288183791,347145.1189104243,1,3,0,1,0,3,normal,normal
1779041594.404235,192.168.82.30,192.168.82.20,49677,80,TCP,60,0,17,1,5,377,0.0033371448516845703,75.4,60,131,1498.286775737658,112970.82289061941,1,4,0,1,0,5,normal,normal
1779041594.40477,192.168.82.20,192.168.82.30,80,49677,TCP,60,0,17,1,3,1106,0.0031859874725341797,368.6666666666667,60,980,941.623288183791,347145.1189104243,1,3,0,1,0,3,normal,normal
1779041594.404771,192.168.82.30,192.168.82.20,49677,80,TCP,60,0,16,1,5,377,0.0033371448516845703,75.4,60,131,1498.286775737658,112970.82289061941,1,4,0,1,0,5,normal,normal
1779041594.419418,192.168.82.30,192.168.82.20,49678,80,TCP,66,0,2,1,5,377,0.004532814025878906,75.4,60,131,1103.0675362928678,83171.29223648222,1,4,0,1,0,5,normal,normal
